Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
37.187.95.110-192.168.1.100-5555-37544-6,37.187.95.110,5555,192.168.1.100,37544,6,08/02/2022 06:09:35 PM,105339952,3,3,1260.0,0.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,11.961273724521918,0.05695844630724723,2.10679904E7,2.934443795550723E7,6.0267492E7,41.0,1.05339904E8,5.2669952E7,1.074460633406883E7,6.0267536E7,4.5072368E7,1.05339908E8,5.2669954E7,1.0744599263001017E7,6.0267533E7,4.5072375E7,1,0,0,0,96,96,0.028479223153623615,0.028479223153623615,0.0,420.0,240.0,224.4994432064365,50400.0,0,0,0,3,6,0,0,0,1.0,280.0,420.0,0.0,0,0,0,0,0,0,1,630,1,0,236,501,2,32,42.5,2.1213203435596424,44.0,41.0,5.26699095E7,1.0744604212748485E7,6.0267492E7,4.5072327E7,NeedManualLabel
192.168.1.100-35.224.170.84-37244-80-6,192.168.1.100,37244,35.224.170.84,80,6,08/02/2022 06:13:01 PM,5830252,8,5,261.0,148.0,87.0,0.0,32.625,45.02677774708861,148.0,0.0,29.6,66.18761213399378,70.15134165727314,2.2297492458301975,485854.3333333334,821102.3411591089,2873606.0,20.0,2748368.0,392624.00000000006,383953.302708806,1030162.0,81.0,4591852.0,1147963.0,1316484.9809319258,2873606.0,37371.0,0,0,0,0,272,168,1.3721533820493523,0.8575958637808452,0.0,148.0,29.214285714285708,50.12473452287813,2512.4890109890107,2,3,0,4,11,0,0,0,0.0,31.46153846153846,32.625,29.6,0,0,0,409,4,270,4,130,2,74,64240,502,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
37.187.95.110-192.168.1.100-5555-37544-6,37.187.95.110,5555,192.168.1.100,37544,6,08/02/2022 06:11:35 PM,98537259,11,19,1407.0,1864.0,420.0,63.0,127.90909090909092,144.41361053962646,233.0,0.0,98.10526315789474,118.19094472591662,33.19556514150652,0.30445336418379565,3397836.517241379,6054648.399645378,2.3242198E7,27.0,9.8537218E7,9853721.8,6943320.864208676,2.349102E7,516336.0,9.8537225E7,5474290.277777777,6952945.89124916,2.3242198E7,246203.0,1,0,0,0,352,620,0.11163290020072508,0.1928204639830706,0.0,420.0,119.06451612903226,136.59744640948233,18658.862365591398,0,0,0,19,30,0,0,0,1.0,123.03333333333333,127.9090909090909,98.10526315789474,0,0,0,0,0,0,1,156,2,207,236,501,10,32,538415.375,842607.8990670973,2540199.0,34.0,1.1747904625E7,6002397.505538574,2.3242198E7,5565680.0,NeedManualLabel
37.187.95.110-192.168.1.100-5555-37544-6,37.187.95.110,5555,192.168.1.100,37544,6,08/02/2022 06:13:36 PM,94503603,10,15,2420.0,1170.0,420.0,64.0,242.0,187.62847450332384,234.0,0.0,78.0,114.18030853497838,37.98796962270317,0.2645401784310806,3937650.1249999995,8564163.343899094,3.7659616E7,23.0,9.4503567E7,1.0500396333333334E7,1.1751919837756393E7,3.7909289E7,2063918.0,9.4503563E7,6750254.5,1.0455520769427E7,3.7659616E7,231189.0,1,0,0,0,320,480,0.10581607137243222,0.15872410705864834,0.0,420.0,154.23076923076923,171.37031427696166,29367.784615384615,0,0,0,15,25,0,0,0,1.0,160.4,242.0,78.0,0,0,0,0,0,0,1,268,1,130,308,501,9,32,1229962.5,1816134.299049137,4359361.0,40.0,1.4479285333333334E7,1.2546643846440526E7,3.7659616E7,5563451.0,NeedManualLabel
37.187.95.110-192.168.1.100-5555-37544-6,37.187.95.110,5555,192.168.1.100,37544,6,08/02/2022 06:15:37 PM,114739858,10,14,1224.0,1404.0,420.0,0.0,122.39999999999999,159.0102722048694,234.0,0.0,100.28571428571429,120.17130629706435,22.90398511736,0.20916881385716898,4988689.47826087,1.010735550315444E7,3.8488405E7,11.0,1.14739815E8,1.2748868333333334E7,1.3276027800255155E7,3.8735867E7,353.0,1.14739805E8,8826138.846153846,1.2271900020159489E7,3.8488405E7,231268.0,1,0,0,0,320,448,0.08715367244048708,0.1220151414166819,0.0,420.0,121.92000000000002,145.87378105746075,21279.159999999996,0,0,0,14,24,0,0,0,1.0,127.0,122.4,100.28571428571429,0,0,0,0,0,0,1,174,2,200,353,501,7,32,1179141.2,1563153.284961427,3842344.0,231268.0,2.1719339E7,1.0569212909041453E7,3.8488405E7,1.05287E7,NeedManualLabel
192.168.1.100-35.232.111.17-49600-80-6,192.168.1.100,49600,35.232.111.17,80,6,08/02/2022 06:18:21 PM,471359,5,4,87.0,148.0,87.0,0.0,17.4,38.90758280849634,148.0,0.0,37.0,74.0,498.55842362191026,19.093726862115712,58919.87499999999,103221.77576798623,226205.0,20.0,470977.0,117744.25,136019.54499599192,244471.0,111.0,245154.0,81718.0,124978.29783206363,225635.0,513.0,0,0,0,0,168,136,10.60762603450873,8.486100827606984,0.0,148.0,23.5,51.58649694122161,2661.1666666666665,2,2,0,2,8,0,0,0,0.0,26.11111111111111,17.4,37.0,0,0,0,0,0,0,0,0,0,0,64240,502,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
37.187.95.110-192.168.1.100-5555-37544-6,37.187.95.110,5555,192.168.1.100,37544,6,08/02/2022 06:17:37 PM,101159477,5,6,1744.0,234.0,420.0,64.0,348.8,159.20803999798505,234.0,0.0,39.0,95.53009996854395,19.553284167335107,0.10873919405494752,1.01159477E7,1.5757176822595567E7,4.0913386E7,28.0,1.01159423E8,2.528985575E7,1.5316737062597707E7,4.0913414E7,9282537.0,1.01159439E8,2.02318878E7,1.7401745436272282E7,4.091344E7,231234.0,1,0,0,0,160,192,0.04942690638861251,0.05931228766633501,0.0,420.0,199.83333333333334,204.8617419952621,41968.333333333336,0,0,0,6,11,0,0,0,1.0,218.0,348.8,39.0,0,0,0,0,0,0,1,436,1,58,406,501,4,32,57836.24999999999,115598.50021049869,231234.0,28.0,2.52320195E7,1.5397498706200508E7,4.0913386E7,9051328.0,NeedManualLabel
37.187.95.110-192.168.1.100-5555-37544-6,37.187.95.110,5555,192.168.1.100,37544,6,08/02/2022 06:19:38 PM,118865383,8,11,2292.0,702.0,420.0,64.0,286.50000000000006,184.24750434440858,234.0,0.0,63.81818181818182,109.30125176027781,25.188157598415344,0.15984468749829378,6603632.388888888,1.1807569042612322E7,3.9472788E7,26.0,1.18865341E8,1.6980763E7,1.3853001218337443E7,3.9472814E7,418975.0,1.1886533E8,1.1886532999999998E7,1.3913110418941114E7,3.9472833E7,187772.0,1,0,0,0,256,352,0.06730302631507105,0.09254166118322271,0.0,420.0,170.69999999999996,185.271663979369,34325.58947368422,0,0,0,11,19,0,0,0,1.0,179.68421052631578,286.5,63.81818181818182,0,0,0,0,0,0,1,382,1,117,415,501,7,32,49630.0,110877.10826405963,247973.0,26.0,2.26894718E7,1.1836198898608992E7,3.9472788E7,6265745.0,NeedManualLabel
192.168.1.100-35.224.170.84-37246-80-6,192.168.1.100,37246,35.224.170.84,80,6,08/02/2022 06:23:01 PM,6292619,9,3,435.0,148.0,87.0,0.0,48.333333333333336,45.8530260724415,148.0,0.0,49.33333333333333,85.44783984006462,92.64822802715372,1.906996117196989,572056.2727272728,921523.6876199213,3003999.0,38.0,6292408.0,786551.0000000001,1010130.9264278568,3003999.0,82.0,6064020.0,3032010.0,4287188.414334037,6063510.0,510.0,0,0,0,0,296,104,1.4302470878977418,0.47674902929924723,0.0,148.0,44.84615384615385,52.917933560445206,2800.307692307693,2,2,0,6,11,0,0,0,0.0,48.583333333333336,48.333333333333336,49.333333333333336,0,0,0,0,0,0,4,217,1,74,64240,502,5,32,0,0,0,0,0,0,0,0,NeedManualLabel
37.187.95.110-192.168.1.100-5555-37544-6,37.187.95.110,5555,192.168.1.100,37544,6,08/02/2022 06:21:38 PM,60221295,5,7,1388.0,468.0,420.0,64.0,277.6,194.98923047183914,234.0,0.0,66.85714285714286,114.18030853497838,30.819662712334566,0.1992650606400942,5474663.181818182,1.290166161704044E7,4.3672555E7,37.0,6.0221243E7,1.505531075E7,1.908339700994891E7,4.3672612E7,4901217.0,6.0221241E7,1.00368735E7,1.667207804037567E7,4.3672592E7,231144.0,1,0,0,0,160,224,0.08302710860003924,0.11623795204005494,0.0,420.0,175.07692307692307,188.15528229738928,35402.41025641025,0,0,0,7,12,0,0,0,1.0,189.66666666666666,277.6,66.85714285714286,0,0,0,0,0,0,1,347,1,117,442,501,4,32,1715504.0,2761679.6006052187,4901274.0,37.0,1.8358243666666668E7,2.1922837306421362E7,4.3672555E7,5695906.0,NeedManualLabel
