Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.22.25-94.23.23.52-55828-5555-6,10.10.22.25,55828,94.23.23.52,5555,6,08/02/2022 11:02:52 AM,2934496,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0223220614374666,1467248.0,1742657.5911664346,2699493.0,235003.0,2699493.0,2699493.0,0.0,2699493.0,2699493.0,0,0,0,0,0,0,0,0,0,64,32,0.681548040958311,0.3407740204791555,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,502,235,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
91.121.140.167-10.10.22.25-5555-37750-6,91.121.140.167,5555,10.10.22.25,37750,6,08/02/2022 11:07:18 AM,30,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66666.66666666667,30.0,0.0,30.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,33333.333333333336,33333.333333333336,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1368,501,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
91.121.140.167-10.10.22.25-5555-37750-6,91.121.140.167,5555,10.10.22.25,37750,6,08/02/2022 09:47:04 AM,119609740,6,7,2163.0,233.0,420.0,63.0,360.5,145.7446396955991,233.0,0.0,33.285714285714285,88.06572221114995,20.031813462682887,0.10868680092440632,9967478.333333334,1.6602802594864301E7,5.3959715E7,32.0,1.19609708E8,2.39219416E7,1.8512931075894732E7,5.3959754E7,6222374.0,1.19609674E8,1.9934945666666664E7,1.9183265992564358E7,5.3959769E7,269420.0,1,0,0,0,192,224,0.05016313888818753,0.05852366203621879,0.0,420.0,201.14285714285717,205.7331569488299,42326.13186813187,0,0,0,7,13,0,0,0,1.0,216.6153846153846,360.5,33.285714285714285,0,0,0,0,0,0,1,432,1,46,236,501,5,32,53923.6,120466.15035892863,269420.0,39.0,2.3868018E7,1.8546610944026094E7,5.3959715E7,6222320.0,NeedManualLabel
91.121.140.167-10.10.22.25-5555-37750-6,91.121.140.167,5555,10.10.22.25,37750,6,08/02/2022 09:49:26 AM,109110826,10,14,1575.0,1398.0,420.0,0.0,157.5,182.87290668658383,233.0,0.0,99.85714285714285,119.65775370605124,27.24752537387995,0.2199598415651257,4743948.956521739,9587206.725660633,3.8658514E7,26.0,1.09110779E8,1.2123419888888888E7,1.2621233394196538E7,3.8936083E7,14703.0,1.09110775E8,8393136.538461538,1.1662908232180933E7,3.8658514E7,135110.0,1,0,0,0,332,448,0.09164993398546904,0.12830990757965666,0.0,420.0,135.72,156.8811970887525,24611.710000000003,0,0,0,14,24,0,0,0,1.0,141.375,157.5,99.85714285714286,0,0,0,0,0,0,1,225,2,199,245,501,7,32,310905.8333333334,475078.4115682028,1224563.0,51.0,1.73879495E7,1.1989536122826332E7,3.8658514E7,8237327.0,NeedManualLabel
91.121.140.167-10.10.22.25-5555-37750-6,91.121.140.167,5555,10.10.22.25,37750,6,08/02/2022 09:52:04 AM,79020121,6,8,1806.0,466.0,420.0,63.0,301.0,184.35400727947305,233.0,0.0,58.25,107.85804162350225,28.75217060221915,0.17717006533057572,6078470.846153845,1.1417256301475914E7,3.8746653E7,29.0,7.9020066E7,1.58040132E7,1.4265275874015763E7,3.8746698E7,1654541.0,7.9020069E7,1.1288581285714285E7,1.385970703779227E7,3.8746733E7,268705.0,1,0,0,0,192,256,0.07593002799881818,0.10124003733175756,0.0,420.0,179.46666666666667,191.868953293896,36813.69523809524,0,0,0,8,14,0,0,0,1.0,192.28571428571428,301.0,58.25,0,0,0,0,0,0,1,361,1,93,290,501,5,32,504238.75,785670.2897489824,1654570.0,37.0,1.918361525E7,1.3778986212522203E7,3.8746653E7,7978028.0,NeedManualLabel
91.121.140.167-10.10.22.25-5555-37750-6,91.121.140.167,5555,10.10.22.25,37750,6,08/02/2022 09:54:05 AM,119731267,4,7,968.0,468.0,420.0,64.0,242.0,205.5366958315068,234.0,0.0,66.85714285714286,114.18030853497838,11.99352546732843,0.09187240956867182,1.19731267E7,2.0339045588932164E7,6.0106479E7,38.0,5.9624733E7,1.9874911E7,1.4041419305943362E7,3.5607584E7,8613916.0,1.19731222E8,1.9955203666666664E7,2.3526107631548125E7,6.0106479E7,348334.0,1,0,0,0,128,224,0.03340814893406248,0.058464260634609334,0.0,420.0,154.66666666666666,180.86727093913288,32712.9696969697,0,0,0,6,11,0,0,0,1.0,168.72727272727272,242.0,66.85714285714286,0,0,0,0,0,0,1,242,1,117,308,501,3,32,177991.5,205562.80414267557,363532.0,45.0,2.975482525E7,2.3201987554751147E7,6.0106479E7,8613878.0,NeedManualLabel
91.121.140.167-10.10.22.25-5555-37750-6,91.121.140.167,5555,10.10.22.25,37750,6,08/02/2022 09:56:05 AM,119959019,14,17,2064.0,1638.0,420.0,0.0,147.42857142857144,180.99796611084815,234.0,0.0,96.3529411764706,118.70811954983881,30.860539131284494,0.2584215864586222,3998633.9666666663,7311245.497472075,2.1107994E7,14.0,1.19958947E8,9227611.307692308,9035064.855106477,2.1472941E7,154.0,1.1968864E8,7480540.000000001,8715569.120290508,2.1107994E7,62968.0,0,0,0,0,460,544,0.11670652291679712,0.14171506354182506,0.0,420.0,115.6875,148.67076366166262,22102.99596774194,0,0,0,17,31,0,0,0,1.0,119.41935483870968,147.42857142857142,96.3529411764706,0,0,0,596,4,909,2,294,2,234,326,501,10,32,510156.14285714284,371841.9228661684,1034834.0,51.0,1.6626836285714285E7,3938463.3644116297,2.1107994E7,1.1989256E7,NeedManualLabel
91.121.140.167-10.10.22.25-5555-37750-6,91.121.140.167,5555,10.10.22.25,37750,6,08/02/2022 09:58:30 AM,96063613,7,9,1452.0,702.0,420.0,0.0,207.42857142857144,200.1256748003257,234.0,0.0,78.0,117.0,22.42264196329988,0.1665563005630446,6404240.866666666,1.1557051327232663E7,3.5981026E7,28.0,9.6063583E7,1.6010597166666666E7,1.4038710882274276E7,3.5981088E7,17389.0,9.6063551E7,1.2007943875E7,1.3792436737375105E7,3.5981055E7,248594.0,1,0,0,0,224,288,0.07286838149633201,0.09368791906671259,0.0,420.0,151.41176470588235,175.4319878270242,30776.382352941167,0,0,0,9,16,0,0,0,1.0,160.875,207.42857142857142,78.0,0,0,0,0,0,0,1,363,2,175,379,501,5,32,182235.0,210375.422875392,365261.0,29.0,2.36858525E7,8955809.149429679,3.5981026E7,1.5801834E7,NeedManualLabel
91.121.140.167-10.10.22.25-5555-37750-6,91.121.140.167,5555,10.10.22.25,37750,6,08/02/2022 10:01:06 AM,108595876,11,15,1224.0,1638.0,420.0,0.0,111.27272727272727,155.29912485850713,234.0,0.0,109.2,120.83708040167141,26.35459195522305,0.23941977317812693,4343835.039999999,9056617.538345024,3.1190343E7,40.0,1.08595828E8,1.08595828E7,1.2045945587703753E7,3.1190343E7,240205.0,1.0676594E8,7626138.571428572,1.1227414991537387E7,3.1430547E7,104138.0,0,0,0,0,364,480,0.10129298095997678,0.13812679221815016,0.0,420.0,105.99999999999999,132.62091725028782,17588.30769230769,0,0,0,15,26,0,0,0,1.0,110.07692307692308,111.27272727272727,109.2,0,0,0,830,5,373,1,174,2,234,501,501,8,32,877267.0,1010848.4520249313,2460415.0,40.0,1.7178740833333336E7,1.1533559169898724E7,3.1190343E7,5689370.0,NeedManualLabel
91.121.140.167-10.10.22.25-5555-37750-6,91.121.140.167,5555,10.10.22.25,37750,6,08/02/2022 10:03:06 AM,84855278,8,13,1580.0,1170.0,420.0,64.0,197.5,184.24750434440858,234.0,0.0,90.0,118.490505948789,32.40811962221136,0.24748018620597767,4242763.9,8295743.36719551,3.0908914E7,42.0,8.4855227E7,1.2122175285714285E7,1.0635146786844421E7,3.1244997E7,666341.0,8.4855205E7,7071267.083333333,9851429.902799623,3.0908914E7,249201.0,1,0,0,0,256,416,0.09427816617370578,0.1532020200322719,0.0,420.0,144.0909090909091,160.81515833874352,25861.51515151515,0,0,0,13,21,0,0,0,1.0,150.95238095238096,197.5,90.0,0,0,0,0,0,0,1,263,2,195,460,501,7,32,2625382.5,4582312.410512149,9486720.0,73.0,1.850139075E7,9284913.457804453,3.0908914E7,1.041804E7,NeedManualLabel
