Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:19:35 PM,95757013,12,9,1048.0,1623.0,262.0,0.0,87.33333333333333,128.99988254634073,449.0,0.0,180.33333333333331,205.4002190845959,27.893518357762474,0.21930508630213852,4787850.6499999985,1.3452422828425715E7,6.0006478E7,10.0,9.5701577E7,8700143.363636365,1.751031296621324E7,6.0006478E7,181565.0,9.5519986E7,1.193999825E7,1.999680783455602E7,6.0224772E7,18762.0,0,0,0,0,384,300,0.12531719217265058,0.09398789412948794,0.0,449.0,121.40909090909089,166.25959595389745,27642.253246753236,0,0,0,10,21,0,0,0,0.0,127.19047619047619,87.33333333333333,180.33333333333334,0,0,0,0,0,0,2,174,1,270,501,272,4,32,1868936.25,1894936.2185495629,3824784.0,237041.0,2.187151925E7,2.557032113666522E7,6.0006478E7,6972829.0,NeedManualLabel
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:21:39 PM,111032157,8,6,711.0,1888.0,449.0,0.0,88.87500000000001,171.98624322062173,449.0,0.0,314.6666666666667,210.13202199252416,23.40763315982414,0.12608959762891034,8540935.153846154,1.4235415501366219E7,3.863246E7,5.0,1.11032157E8,1.5861736714285716E7,1.6426252697791176E7,3.8632466E7,16.0,8.1308331E7,1.62616662E7,1.7153771756035324E7,3.8632476E7,18756.0,1,0,0,0,256,192,0.07205119864509162,0.054038398983818715,0.0,449.0,203.2,218.33139948252978,47668.6,0,0,0,7,14,0,0,0,0.0,217.71428571428572,88.875,314.6666666666667,0,0,0,0,0,0,1,142,1,377,272,281,1,32,51164.4,114381.36174351134,255776.0,5.0,2.21552658E7,1.5213050044233903E7,3.863246E7,5560802.0,NeedManualLabel
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:23:39 PM,95072032,6,3,711.0,990.0,449.0,0.0,118.49999999999999,192.86860812480606,449.0,92.0,330.0,206.11404610069638,17.89169710814638,0.09466506406426656,1.1884004E7,1.8052844739630293E7,4.470922E7,15.0,9.5072032E7,1.90144064E7,2.002146993578679E7,4.4709236E7,24.0,7.8621311E7,3.93106555E7,7634745.7606629245,4.4709236E7,3.3912075E7,1,0,0,0,192,96,0.06311004270951104,0.03155502135475552,0.0,449.0,215.0,216.3489978920376,46806.88888888889,0,0,0,5,9,0,0,0,0.0,238.88888888888889,118.5,330.0,0,0,0,0,0,0,2,237,1,330,281,290,1,32,86424.33333333334,149656.69538090614,259233.0,16.0,3.1604248E7,1.4398266606393876E7,4.470922E7,1.6191465E7,NeedManualLabel
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:25:40 PM,111140503,9,6,973.0,1888.0,449.0,0.0,108.11111111111114,170.91550869102286,449.0,0.0,314.6666666666667,210.13202199252416,25.74219049557478,0.13496429829906384,7938607.357142857,1.4995764686112884E7,5.0909451E7,5.0,1.11140503E8,1.3892562875E7,1.7979947259082966E7,5.0909466E7,5.0,9.5931731E7,1.91863462E7,2.088947341132255E7,5.0909479E7,2791064.0,1,0,0,0,288,204,0.0809785789794383,0.05398571931962554,0.0,449.0,206.87499999999997,211.439786542962,44706.78333333333,0,0,0,8,15,0,0,0,0.0,220.66666666666666,108.11111111111111,314.6666666666667,0,0,0,0,0,0,1,162,1,314,290,299,2,32,766471.0,1713847.1587676655,3832294.0,5.0,2.14616266E7,1.932711409963242E7,5.0909451E7,5441297.0,NeedManualLabel
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:27:40 PM,60485893,8,7,524.0,1980.0,262.0,0.0,65.49999999999999,121.28243307020425,449.0,0.0,282.8571428571429,209.47348962850373,41.39808269012413,0.24799170940569565,4320420.928571428,7532924.967427087,2.1149174E7,8.0,6.0485893E7,8640841.857142856,8912390.656202754,2.1149185E7,256000.0,6.0248925E7,1.00414875E7,8913810.093341876,2.1149182E7,299697.0,1,0,0,0,268,224,0.13226224501637102,0.11572946438932463,0.0,449.0,172.875,191.67537661369025,36739.45,0,0,0,8,15,0,0,0,0.0,184.4,65.5,282.85714285714283,0,0,0,0,0,0,2,131,1,495,501,317,1,32,315701.5,476265.4424950439,1006787.0,8.0,1.480576525E7,6370079.730469752,2.1149174E7,6474275.0,NeedManualLabel
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:29:41 PM,78900854,6,3,712.0,991.0,449.0,0.0,118.66666666666667,193.0177884721164,449.0,93.0,330.3333333333333,205.5366958315068,21.584050281635736,0.11406720642085827,9862606.750000002,2.0921666694192436E7,6.0253083E7,15.0,7.8900854E7,1.57801708E7,2.5480947428602703E7,6.0253098E7,22.0,1.8647719E7,9323859.5,6341539.381754284,1.3808005E7,4839714.0,1,0,0,0,192,96,0.07604480428057217,0.038022402140286085,0.0,449.0,215.2,216.31037371743818,46790.177777777775,0,0,0,5,9,0,0,0,0.0,239.11111111111111,118.66666666666667,330.3333333333333,0,0,0,0,0,0,2,237,1,330,317,327,1,32,18.5,4.949747468305833,22.0,15.0,3.70305365E7,3.284164021313985E7,6.0253083E7,1.380799E7,NeedManualLabel
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:31:41 PM,60521207,4,2,449.0,449.0,449.0,0.0,112.25000000000001,224.5,449.0,0.0,224.5,317.49094475275984,14.837774137584534,0.09913880270101025,1.2104241400000002E7,2.6933619776753984E7,6.0284263E7,23.0,6.0296997E7,2.0098999E7,3.480146005928303E7,6.0284263E7,27.0,224233.0,224233.0,0.0,224233.0,224233.0,1,0,0,0,128,64,0.06609253513400683,0.033046267567003414,0.0,449.0,192.42857142857144,240.00059523735712,57600.28571428572,0,0,0,2,6,0,0,0,0.0,224.5,112.25,224.5,0,0,0,0,0,0,4,449,2,449,327,327,0,32,27.0,0.0,27.0,27.0,6.0284263E7,0.0,6.0284263E7,6.0284263E7,NeedManualLabel
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:33:42 PM,95550124,5,2,712.0,542.0,449.0,0.0,142.4,205.7797366117471,449.0,93.0,271.0,251.7300141024109,13.124001806632926,0.07325997818694616,1.5925020666666668E7,2.583918077620287E7,6.0258718E7,17.0,9.5550124E7,2.3887531E7,2.9311542933374252E7,6.0258736E7,17.0,3.5291364E7,3.5291364E7,0.0,3.5291364E7,3.5291364E7,1,0,0,0,160,64,0.05232855584781868,0.020931422339127474,0.0,449.0,212.875,213.84068669388967,45727.839285714275,0,0,0,4,7,0,0,0,0.0,243.28571428571428,142.4,271.0,0,0,0,0,0,0,2,356,1,271,327,336,1,32,17.5,0.7071067811865476,18.0,17.0,4.7656371E7,1.782241004513189E7,6.0258718E7,3.5054024E7,NeedManualLabel
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:35:42 PM,76037316,6,3,712.0,991.0,449.0,0.0,118.66666666666667,193.0177884721164,449.0,93.0,330.3333333333333,205.5366958315068,22.396897859992848,0.11836293642979191,9504664.5,1.7860263273795154E7,5.1323768E7,8.0,7.6037316E7,1.52074632E7,2.1209081587790895E7,5.1323795E7,8.0,6.710874E7,3.355437E7,2.5129744860008787E7,5.1323783E7,1.5784957E7,1,0,0,0,192,96,0.07890862428652794,0.03945431214326397,0.0,449.0,215.2,216.31037371743818,46790.177777777775,0,0,0,5,9,0,0,0,0.0,239.11111111111111,118.66666666666667,330.3333333333333,0,0,0,0,0,0,2,237,1,330,336,345,1,32,16.666666666666668,9.60902353693305,27.0,8.0,2.5266638666666668E7,2.2807529339975305E7,5.1323768E7,8928557.0,NeedManualLabel
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:37:43 PM,101462649,9,6,1238.0,728.0,449.0,0.0,137.55555555555554,172.77667023582143,449.0,0.0,121.33333333333333,166.86361696507322,19.376588521752474,0.14783765403168214,7247332.071428572,1.5034727133959852E7,4.093858E7,8.0,1.01462649E8,1.2682831125E7,1.8467248070379157E7,4.093858E7,31.0,6.064256E7,1.2128512E7,1.811317993408049E7,4.1176255E7,417.0,1,0,0,0,288,192,0.08870259241900928,0.05913506161267286,0.0,449.0,150.9375,177.71567882435133,31582.8625,0,0,0,8,15,0,0,0,0.0,161.0,137.55555555555554,121.33333333333333,0,0,0,712,4,743,3,412,2,242,345,372,3,32,319213.6666666666,552857.0501262812,957598.0,12.0,3.3422306666666668E7,1.269576512944227E7,4.093858E7,1.8764093E7,NeedManualLabel
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:39:43 PM,60282820,7,3,975.0,635.0,449.0,0.0,139.28571428571428,184.45208437036277,449.0,93.0,211.66666666666669,205.5366958315068,26.707443347872577,0.16588474129113404,6698091.111111111,1.2497172191678159E7,3.5408417E7,13.0,6.028282E7,1.0047136666666666E7,1.4474426514769843E7,3.5408417E7,14.0,5.498074E7,2.749037E7,1.153873957524313E7,3.5649491E7,1.9331249E7,1,0,0,0,224,96,0.11611931890379382,0.049765422387340205,0.0,449.0,187.1818181818182,193.65733561206412,37503.163636363635,0,0,0,6,10,0,0,0,0.0,205.9,139.28571428571428,211.66666666666666,0,0,0,0,0,0,2,325,1,211,372,391,2,32,159610.33333333334,138224.61000969884,241082.0,14.0,1.9934658666666668E7,1.5181038441206265E7,3.5408417E7,5064335.0,NeedManualLabel
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:41:44 PM,117777450,15,10,1764.0,2168.0,449.0,0.0,117.59999999999997,155.83865282491925,449.0,0.0,216.79999999999998,203.02643506039635,33.38499857145829,0.2122647416801773,4907393.75,8537696.841367029,2.9589767E7,11.0,1.1777745E8,8412675.000000002,9859555.20346009,2.9589767E7,15.0,8.7950426E7,9772269.555555556,8363955.415468272,2.3246482E7,336.0,1,0,0,0,480,332,0.12735884500810637,0.08490589667207092,0.0,449.0,168.49999999999997,184.59127823383204,34073.939999999995,0,0,0,14,25,0,0,0,0.0,175.24,117.6,216.8,0,0,0,0,0,0,1,220,1,271,391,427,5,32,338958.8571428571,696514.396328946,1898002.0,15.0,1.6452470428571427E7,7723302.00889317,2.9589767E7,5986701.0,NeedManualLabel
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:43:44 PM,114203551,11,5,1501.0,821.0,449.0,0.0,136.45454545454544,165.3658753409322,449.0,93.0,164.2,159.20803999798503,20.332117343706763,0.1401007224372559,7613570.066666666,1.5276303257304167E7,5.3715956E7,11.0,1.14203551E8,1.14203551E7,1.7739998885480482E7,5.3715956E7,15.0,9.4127549E7,2.353188725E7,2.2876562761530682E7,5.3956209E7,5815502.0,1,0,0,0,352,160,0.09631924667561344,0.04378147576164247,0.0,449.0,163.0,170.36761722815754,29025.125,0,0,0,10,16,0,0,0,0.0,173.1875,136.45454545454547,164.2,0,0,0,0,0,0,2,300,1,164,427,464,4,32,146033.4,133472.69801648575,254602.0,15.0,2.26466236E7,1.9824413858617418E7,5.3715956E7,5560914.0,NeedManualLabel
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:45:45 PM,101648957,6,4,449.0,1347.0,449.0,0.0,74.83333333333334,183.30348241827448,449.0,0.0,336.75,224.5,17.66865153372897,0.09837779250405886,1.1294328555555556E7,2.0418372173101246E7,6.0111154E7,12.0,1.01648957E8,2.03297914E7,2.4596698972268056E7,6.0111154E7,17.0,4.1389548E7,1.3796516E7,1.222564938306653E7,2.3573406E7,89011.0,1,0,0,0,192,128,0.05902667550243531,0.03935111700162354,0.0,449.0,204.0909090909091,234.48260257232496,54982.090909090904,0,0,0,4,10,0,0,0,0.0,224.5,74.83333333333333,336.75,0,0,0,0,0,0,2,149,1,449,464,464,0,32,79093.66666666666,136956.14419708718,237237.0,17.0,3.3803888E7,2.2969519742812276E7,6.0111154E7,1.7727131E7,NeedManualLabel
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:47:46 PM,98845495,10,5,1238.0,1177.0,449.0,0.0,123.79999999999998,168.6032818976744,449.0,93.0,235.4,194.98923047183914,24.43206946356028,0.151751984245716,7060392.5,1.2189557353131779E7,3.8563783E7,9.0,9.8845495E7,1.0982832777777778E7,1.3891974920753608E7,3.8563808E7,9.0,8.601959E7,2.15048975E7,1.4608875291565685E7,3.8563798E7,8189142.0,1,0,0,0,320,160,0.101167989497144,0.050583994748572,0.0,449.0,179.0,187.47479830633236,35146.8,0,0,0,9,15,0,0,0,0.0,190.93333333333334,123.8,235.4,0,0,0,0,0,0,2,247,1,235,464,491,3,32,150810.6,137952.90374363275,262642.0,9.0,1.96182834E7,1.3275183372051751E7,3.8563783E7,7951565.0,NeedManualLabel
