Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.104-114.118.20.35-50291-8016-6,192.168.1.104,50291,114.118.20.35,8016,6,22/11/2019 03:43:35 PM,2937897,12,19,820.0,15548.0,266.0,0.0,68.33333333333333,101.1931845830568,1460.0,0.0,818.3157894736844,685.8947159757894,5571.332146770292,10.551765429489189,97929.9,377623.97746904445,1935685.0,0.0,2937897.0,267081.54545454547,609165.5259624207,1935685.0,1321.0,956380.0,53132.22222222222,192939.8422631675,823324.0,0.0,0,0,0,0,252,388,4.084554359802267,6.467211069686923,0.0,1460.0,511.4999999999999,647.2707963989784,418959.4838709677,0,2,1,12,30,0,0,0,1.0,528.0,68.33333333333333,818.3157894736842,0,0,0,16368,21,17140,12,820,19,15548,64240,35,6,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.104-60.2.95.163-50294-12601-6,192.168.1.104,50294,60.2.95.163,12601,6,22/11/2019 03:43:35 PM,2913576,13,12,348.0,2135.0,207.0,0.0,26.769230769230774,57.85060334769472,438.0,0.0,177.91666666666666,180.13856198813048,852.2173439100268,8.580520981776347,121399.0,198542.04704687928,738494.0,25.0,2913576.0,242798.0,258512.17214352527,778539.0,8300.0,2546716.0,231519.63636363638,261576.79473159416,778423.0,8491.0,0,0,0,0,272,248,4.4618709105237,4.118650071252646,0.0,438.0,95.5,148.20937892049884,21966.020000000004,0,2,1,11,24,0,0,0,0.0,99.32,26.76923076923077,177.91666666666666,0,0,0,2483,11,984,0,0,0,0,64240,31,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.104-124.236.58.219-50306-443-6,192.168.1.104,50306,124.236.58.219,443,6,22/11/2019 03:43:37 PM,850130,10,12,1553.0,3731.0,693.0,0.0,155.29999999999998,253.8910746319724,1460.0,0.0,310.9166666666667,546.6605159483988,6215.5199792972835,25.878395068989448,40482.380952380954,141251.24745235924,653850.0,0.0,840600.0,93400.0,210979.81069227928,653850.0,3190.0,842461.0,76587.36363636365,197117.8008421729,663564.0,0.0,0,0,0,0,212,252,11.762906849540657,14.115488219448789,0.0,1460.0,229.73913043478262,429.3033698903486,184301.38339920947,2,2,0,9,21,0,0,0,1.0,240.1818181818182,155.3,310.9166666666667,0,0,0,5284,11,30092,0,0,0,0,64240,473,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.104-27.185.6.248-50327-443-6,192.168.1.104,50327,27.185.6.248,443,6,22/11/2019 03:43:41 PM,49337,8,7,301.0,3492.0,216.0,0.0,37.62500000000001,77.97057595199432,1460.0,0.0,498.8571428571428,665.381702125787,76879.42112410565,304.03145712143015,3524.0714285714284,4706.513137937938,11113.0,2.0,49337.0,7048.142857142857,5892.562471131764,14750.0,35.0,29076.0,4846.0,6207.2804028817645,13931.0,2.0,0,0,0,0,172,152,162.15011046476275,141.8813466566674,0.0,1460.0,237.0625,486.6969582467787,236873.92916666664,1,2,1,5,14,0,0,0,0.0,252.86666666666667,37.625,498.85714285714283,0,0,0,3793,7,132654,0,0,0,0,64240,60,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.104-27.185.6.248-50325-443-6,192.168.1.104,50325,27.185.6.248,443,6,22/11/2019 03:43:41 PM,61063,7,6,301.0,3431.0,216.0,0.0,43.00000000000001,82.60145277172793,1460.0,0.0,571.8333333333333,697.5277533307665,61117.206819186744,212.89487905933217,5088.583333333334,6198.760909295184,15653.0,1.0,61063.0,10177.166666666666,6781.113991570019,18470.0,251.0,45266.0,9053.2,11538.522877734395,26545.0,1.0,0,0,0,0,152,132,114.63570410887117,98.259174950461,0.0,1460.0,266.5714285714286,515.4327105654812,265670.8791208791,1,2,1,4,12,0,0,0,0.0,287.0769230769231,43.0,571.8333333333334,0,0,0,3732,6,83025,0,0,0,0,64240,60,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.104-103.15.99.89-50335-443-6,192.168.1.104,50335,103.15.99.89,443,6,22/11/2019 03:43:42 PM,31625,9,7,296.0,3492.0,211.0,0.0,32.888888888888886,72.46627568125129,1460.0,0.0,498.8571428571428,665.381702125787,119778.65612648221,505.9288537549407,2108.333333333333,2879.163982494786,10744.0,0.0,31625.0,3953.124999999999,3312.141837779812,10744.0,59.0,17822.0,2970.3333333333335,2731.7101359160833,6869.0,0.0,0,0,0,0,204,152,284.5849802371541,221.34387351778656,0.0,1460.0,222.82352941176467,474.74311939380925,225381.02941176464,1,2,1,5,15,0,0,0,0.0,236.75,32.888888888888886,498.85714285714283,0,0,0,3788,7,227863,0,0,0,0,64240,60,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.104-103.15.99.89-50334-443-6,192.168.1.104,50334,103.15.99.89,443,6,22/11/2019 03:43:42 PM,368131,6,9,296.0,3431.0,211.0,0.0,49.333333333333336,86.18971322998277,1460.0,0.0,381.2222222222222,621.1593551130373,10124.113427013754,40.74636474515865,26295.071428571428,64846.064520244676,239933.0,1.0,255364.0,51072.8,107154.20661457954,242722.0,591.0,364240.0,45530.0,82831.79374232715,239933.0,1.0,0,0,0,0,132,192,16.298545898063463,24.447818847095192,0.0,1460.0,232.93750000000003,488.41737189279695,238551.5291666667,2,2,0,4,14,0,0,0,1.0,248.46666666666667,49.333333333333336,381.22222222222223,0,0,0,3727,6,10257,0,0,0,0,64240,60,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.104-27.185.4.245-50323-443-6,192.168.1.104,50323,27.185.4.245,443,6,22/11/2019 03:43:40 PM,17985617,10,7,299.0,3492.0,214.0,0.0,29.9,69.9848396281493,1460.0,0.0,498.8571428571428,665.381702125787,210.7795356700857,0.945199711525048,1124101.0625,4487430.236721152,1.7951961E7,1.0,1.7985617E7,1998401.888888889,5982585.956425249,1.7951961E7,43.0,26786.0,4464.333333333333,5611.372119781994,12871.0,1.0,0,0,0,0,236,152,0.5559998303088517,0.3891998812161962,0.0,1460.0,210.6111111111111,463.5540629538757,214882.36928104577,1,2,1,5,16,0,0,0,0.0,223.0,29.9,498.85714285714283,0,0,0,3791,7,181153,10,299,7,3492,64240,60,2,20,33593.0,0.0,33593.0,33593.0,1.7951961E7,0.0,1.7951961E7,1.7951961E7,NeedManualLabel
192.168.1.104-103.15.99.88-50269-443-6,192.168.1.104,50269,103.15.99.88,443,6,22/11/2019 03:43:33 PM,30006620,8,8,610.0,3445.0,517.0,0.0,76.25000000000001,181.03886717655806,1460.0,0.0,430.625,644.0450156183628,135.13684646921246,0.5332156704087297,2000441.3333333333,7498321.9549776185,2.9098799E7,13.0,907724.0,129674.85714285714,229744.2161262742,614343.0,2865.0,3.0003496E7,4286213.714285715,1.0961646425408695E7,2.9139553E7,97.0,0,0,0,0,196,172,0.2666078352043649,0.2666078352043649,0.0,1460.0,238.52941176470588,480.609134022526,230985.13970588238,1,2,0,5,15,0,0,0,1.0,253.4375,76.25,430.625,0,0,0,4024,6,4674,8,610,8,3445,64240,60,2,20,907724.0,0.0,907724.0,907724.0,2.9098799E7,0.0,2.9098799E7,2.9098799E7,NeedManualLabel
192.168.1.104-27.185.6.243-50303-443-6,192.168.1.104,50303,27.185.6.243,443,6,22/11/2019 03:43:35 PM,30022471,4,6,584.0,172.0,533.0,0.0,146.0,259.1177338585686,141.0,0.0,28.666666666666664,56.4115827349904,25.18113848790128,0.3330838424325566,3335830.111111111,9968335.225801177,2.9918023E7,37.0,54482.0,18160.666666666664,17005.048260247113,37485.0,5482.0,3.0011102E7,6002220.4,1.3369375600397922E7,2.9918023E7,37.0,0,0,0,0,92,132,0.13323353697302265,0.19985030545953397,0.0,533.0,68.72727272727272,159.8668764372976,25557.41818181818,1,2,0,4,9,0,0,0,1.0,75.6,146.0,28.666666666666668,0,0,0,0,0,0,4,584,6,172,64240,60,2,20,104411.0,0.0,104411.0,104411.0,2.9918023E7,0.0,2.9918023E7,2.9918023E7,NeedManualLabel
192.168.1.104-106.120.178.40-50257-443-6,192.168.1.104,50257,106.120.178.40,443,6,22/11/2019 03:43:31 PM,60281378,12,16,1993.0,4631.0,638.0,0.0,166.08333333333334,237.89587421747558,1460.0,0.0,289.4375,474.09745394099446,109.88468113651948,0.4644883864466403,2232643.6296296297,1.1545850366312953E7,6.0004463E7,0.0,276834.0,25166.727272727272,42501.77592075632,145128.0,34.0,6.0276828E7,4018455.1999999997,1.5488155618683381E7,6.000453E7,0.0,0,0,0,0,252,332,0.19906645133427442,0.2654219351123659,0.0,1460.0,228.41379310344826,385.09929306250535,148301.4655172414,1,2,0,15,27,0,0,0,1.0,236.57142857142858,166.08333333333334,289.4375,0,0,0,6593,16,24302,12,1993,16,4631,64240,492,6,20,276834.0,0.0,276834.0,276834.0,6.0004463E7,0.0,6.0004463E7,6.0004463E7,NeedManualLabel
192.168.1.104-106.120.178.40-50257-443-6,192.168.1.104,50257,106.120.178.40,443,6,22/11/2019 03:44:31 PM,6298,3,1,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0.0,0.0,0.0,0.0,4922.197523023182,635.1222610352493,2099.3333333333335,1870.4898645363821,3824.0,111.0,2474.0,1237.0,1592.404471232105,2363.0,111.0,0,0,0,0,0,0,0,0,0,60,20,476.341695776437,158.78056525881232,0.0,31.0,6.2,13.863621460498697,192.20000000000002,1,0,1,1,3,0,0,0,0.0,7.75,10.333333333333334,0.0,0,0,0,0,0,0,0,0,0,0,507,0,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.104-27.185.6.244-50265-443-6,192.168.1.104,50265,27.185.6.244,443,6,22/11/2019 03:43:31 PM,60241670,11,12,1698.0,4486.0,481.0,0.0,154.36363636363635,186.60078924124232,1460.0,0.0,373.8333333333333,546.3661498454765,102.65319669922829,0.3817955245928607,2738257.727272727,1.277845128499224E7,5.9950059E7,1.0,6.023491E7,6023491.0,1.8947915948033556E7,5.9950059E7,31.0,6.0234862E7,5475896.545454545,1.8086018133657183E7,6.0007246E7,1.0,0,0,0,0,232,252,0.1825978595878899,0.19919766500497083,0.0,1460.0,257.6666666666667,415.858950446743,172938.66666666666,2,2,0,10,22,0,0,0,1.0,268.8695652173913,154.36363636363637,373.8333333333333,0,0,0,6184,12,27216,11,1698,12,4486,64240,68,6,20,284851.0,0.0,284851.0,284851.0,5.9950059E7,0.0,5.9950059E7,5.9950059E7,NeedManualLabel
192.168.1.104-106.120.178.40-50258-443-6,192.168.1.104,50258,106.120.178.40,443,6,22/11/2019 03:43:31 PM,61504149,11,12,1059.0,4633.0,517.0,0.0,96.27272727272728,195.29725595055908,1460.0,0.0,386.0833333333333,527.0755437201377,92.54660201867031,0.3739585113192933,2795643.1363636367,1.277976615263756E7,5.9998076E7,0.0,1505942.0,150594.2,437043.25283706194,1393312.0,24.0,6.1500001E7,5590909.181818181,1.8050275467079457E7,5.9998099E7,0.0,0,0,0,0,268,252,0.1788497228048794,0.19510878851441388,0.0,1460.0,237.1666666666666,415.8819509205097,172957.79710144928,1,2,0,10,22,0,0,0,1.0,247.47826086956522,96.27272727272727,386.0833333333333,0,0,0,2834,5,103856,5,529,6,2316,64240,462,3,20,1505942.0,0.0,1505942.0,1505942.0,5.9998076E7,0.0,5.9998076E7,5.9998076E7,NeedManualLabel
192.168.1.104-124.236.58.219-50320-443-6,192.168.1.104,50320,124.236.58.219,443,6,22/11/2019 03:43:40 PM,60161028,8,12,1433.0,3738.0,573.0,0.0,179.125,242.81706076797818,1460.0,0.0,311.5,547.5471752195505,85.95265360159736,0.33244112783445123,3166369.8947368423,1.3763285818054471E7,6.0001599E7,1.0,159091.0,22727.285714285714,19891.10826235587,51660.0,2932.0,6.014887E7,5468079.090909091,1.8086786149922412E7,6.0001762E7,1.0,0,0,0,0,172,252,0.13297645113378048,0.19946467670067072,0.0,1460.0,246.23809523809524,439.22567146763004,192919.19047619047,1,2,0,9,19,0,0,0,1.0,258.55,179.125,311.5,0,0,0,5148,10,35826,8,1433,12,3738,64240,471,4,20,159091.0,0.0,159091.0,159091.0,6.0001599E7,0.0,6.0001599E7,6.0001599E7,NeedManualLabel
192.168.1.104-124.236.58.219-50330-443-6,192.168.1.104,50330,124.236.58.219,443,6,22/11/2019 03:43:42 PM,60188282,8,13,1561.0,3755.0,701.0,0.0,195.125,274.6137222146254,1460.0,0.0,288.84615384615387,529.4355242699288,88.32283998403543,0.3489051240904334,3009414.0999999996,1.3414500001368267E7,6.0001278E7,0.0,186918.0,26702.571428571428,18641.914519500966,54582.0,9715.0,6.0172837E7,5014403.083333333,1.7316422781125005E7,6.0001391E7,0.0,0,0,0,0,172,272,0.13291623774873654,0.21598888634169688,0.0,1460.0,241.63636363636365,436.22739215039866,190294.3376623377,1,2,0,10,20,0,0,0,1.0,253.14285714285714,195.125,288.84615384615387,0,0,0,5293,11,32976,8,1561,13,3755,64240,473,4,20,186918.0,0.0,186918.0,186918.0,6.0001278E7,0.0,6.0001278E7,6.0001278E7,NeedManualLabel
