Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.211.8.152-155.133.245.37-52550-27021-6,10.211.8.152,52550,155.133.245.37,27021,6,10/12/2019 09:33:40 PM,126216,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.768777334093937,63108.0,63962.050999010346,108336.0,17880.0,17880.0,17880.0,0.0,17880.0,17880.0,0,0,0,0,0,0,0,0,0,40,20,15.845851556062623,7.922925778031312,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1025,1025,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.211.8.152-180.101.192.197-52546-80-6,10.211.8.152,52546,180.101.192.197,80,6,10/12/2019 09:34:04 PM,33073,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.70843286064162,16536.5,16814.292149834913,28426.0,4647.0,4647.0,4647.0,0.0,4647.0,4647.0,0,0,0,0,0,0,0,0,0,40,20,60.47228857376108,30.23614428688054,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1025,256,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
162.254.195.67-10.211.8.152-443-52552-6,162.254.195.67,443,10.211.8.152,52552,6,10/12/2019 09:33:36 PM,74005,3,0,223.0,0.0,223.0,0.0,74.33333333333334,128.74911002928653,0,0,0,0,3013.3099114924667,40.537801499898656,37002.5,20536.5022460009,51524.0,22481.0,74005.0,37002.5,20536.5022460009,51524.0,22481.0,0,0,0,0,0,0,0,0,0,72,0,40.537801499898656,0.0,0.0,223.0,55.75,111.5,12432.25,0,0,0,1,3,0,0,0,0.0,74.33333333333333,74.33333333333333,0.0,0,0,0,0,0,0,0,0,0,0,1025,0,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.211.8.152-103.10.124.163-52551-443-6,10.211.8.152,52551,103.10.124.163,443,6,10/12/2019 09:33:40 PM,151512,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.800411848566448,75756.0,50778.752170568354,111662.0,39850.0,39850.0,39850.0,0.0,39850.0,39850.0,0,0,0,0,0,0,0,0,0,40,20,13.200274565710966,6.600137282855483,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1025,1025,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.211.8.152-1.25.242.60-52548-80-6,10.211.8.152,52548,1.25.242.60,80,6,10/12/2019 09:34:34 PM,54491,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.40661760657724,18163.666666666668,5650.926413724862,23233.0,12071.0,31258.0,31258.0,0.0,31258.0,31258.0,35304.0,35304.0,0.0,35304.0,35304.0,0,0,0,0,40,52,36.70330880328862,36.70330880328862,0.0,0.0,0.0,0.0,0.0,1,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1026,454,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.211.8.152-162.254.195.67-52552-443-6,10.211.8.152,52552,162.254.195.67,443,6,10/12/2019 09:33:34 PM,1041090,10,5,884.0,3110.0,268.0,0.0,88.4,120.49084796964641,1460.0,0.0,622.0,766.5999608661613,3836.3638110057727,14.40797625565513,74363.57142857143,112792.54776850238,374604.0,1.0,1041090.0,115676.66666666666,126417.4822858769,374604.0,56.0,402620.0,100655.0,116062.07131243753,201679.0,1.0,0,0,0,0,224,112,9.605317503770086,4.802658751885043,0.0,1460.0,249.625,482.83383960392285,233128.5166666667,1,2,1,6,14,0,0,0,0.0,266.26666666666665,88.4,622.0,0,0,0,3994,8,5180,0,0,0,0,64240,1026,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.211.8.152-155.133.245.36-52545-27020-6,10.211.8.152,52545,155.133.245.36,27020,6,10/12/2019 09:33:34 PM,5341752,7,8,618.0,3364.0,270.0,0.0,88.28571428571429,117.96851880299009,1460.0,0.0,420.5,646.0042016670081,745.448309842913,2.8080674655056996,381553.71428571426,1307998.4556468434,4924152.0,1.0,412286.0,68714.33333333333,52034.76203334331,133715.0,3694.0,5264868.0,752123.9999999999,1858621.42375023,4965657.0,1.0,0,0,0,0,152,172,1.3104314839026598,1.4976359816030398,0.0,1460.0,248.87500000000009,481.8610968595272,232190.11666666664,1,2,0,7,14,0,0,0,1.0,265.46666666666664,88.28571428571429,420.5,0,0,0,3951,8,13617,7,618,8,3364,64240,1025,3,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.211.8.152-155.133.245.36-52545-27020-6,10.211.8.152,52545,155.133.245.36,27020,6,10/12/2019 09:33:39 PM,9802,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,3162.619873495205,306.0599877576005,4901.0,6863.17841819663,9754.0,48.0,9802.0,4901.0,6863.17841819663,9754.0,48.0,0,0,0,0,0,0,0,0,0,60,0,306.0599877576005,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,1,1,3,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,0,0,0,0,1025,0,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.211.8.152-155.133.245.37-52550-27021-6,10.211.8.152,52550,155.133.245.37,27021,6,10/12/2019 09:33:34 PM,5507357,9,8,618.0,3364.0,270.0,0.0,68.66666666666667,109.32977636490436,1460.0,0.0,420.5,646.0042016670081,723.0328449744587,3.0867801015986434,344209.8125,1226190.0114033017,4939087.0,1.0,553425.0,69178.125,66648.85534851936,155344.0,9.0,5409776.0,772825.1428571428,1856625.670546743,4980390.0,1.0,0,0,0,0,216,172,1.6341777008463407,1.4526024007523028,0.0,1460.0,221.2222222222222,459.72914731272897,211350.88888888888,1,2,0,7,16,0,0,0,0.0,234.23529411764707,68.66666666666667,420.5,0,0,0,3951,8,9546,9,618,8,3364,64240,1025,3,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.211.8.152-103.10.124.163-52551-443-6,10.211.8.152,52551,103.10.124.163,443,6,10/12/2019 09:33:34 PM,5532767,8,8,616.0,3364.0,268.0,0.0,77.0,113.10677635377492,1460.0,0.0,420.5,646.0042016670081,719.3507335479698,2.891862245418974,368851.1333333333,1261258.3421923104,4924514.0,1.0,602267.0,86038.14285714286,64850.46949310537,158320.0,23.0,5414014.0,773430.5714285715,1849494.4746817402,4964423.0,1.0,0,0,0,0,184,172,1.445931122709487,1.445931122709487,0.0,1460.0,234.11764705882354,470.4391409036005,221312.98529411768,1,2,0,7,15,0,0,0,1.0,248.75,77.0,420.5,0,0,0,3949,8,9447,8,616,8,3364,64240,1025,3,20,0,0,0,0,0,0,0,0,NeedManualLabel
