Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.101-36.102.212.88-56404-80-6,192.168.1.101,56404,36.102.212.88,80,6,08/02/2022 06:04:03 PM,11495,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.9886907351022,11495.0,0.0,11495.0,11495.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,86.9943453675511,86.9943453675511,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,60,0,20,0,0,0,0,0,0,0,0,-1
192.168.1.101-122.225.209.220-43642-80-6,192.168.1.101,43642,122.225.209.220,80,6,08/02/2022 06:04:04 PM,29870,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.95681285570807,29870.0,0.0,29870.0,29870.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,33.47840642785403,33.47840642785403,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,83,0,20,0,0,0,0,0,0,0,0,-1
192.168.1.101-220.185.166.221-43466-80-6,192.168.1.101,43466,220.185.166.221,80,6,08/02/2022 06:04:04 PM,32143,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.221945680241426,32143.0,0.0,32143.0,32143.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,31.110972840120713,31.110972840120713,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,60,0,20,0,0,0,0,0,0,0,0,-1
192.168.1.101-122.225.209.218-46898-80-6,192.168.1.101,46898,122.225.209.218,80,6,08/02/2022 06:04:04 PM,32690,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.1807892321811,32690.0,0.0,32690.0,32690.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,30.59039461609055,30.59039461609055,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,83,0,20,0,0,0,0,0,0,0,0,-1
192.168.1.101-61.164.147.225-37168-80-6,192.168.1.101,37168,61.164.147.225,80,6,08/02/2022 06:04:04 PM,32655,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.24636349716735,32655.0,0.0,32655.0,32655.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,30.623181748583676,30.623181748583676,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,62,0,20,0,0,0,0,0,0,0,0,-1
192.168.1.101-180.101.38.35-44864-80-6,192.168.1.101,44864,180.101.38.35,80,6,08/02/2022 06:04:05 PM,24025,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.24661810613944,24025.0,0.0,24025.0,24025.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,41.62330905306972,41.62330905306972,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,556,0,20,0,0,0,0,0,0,0,0,-1
192.168.1.101-220.185.166.220-38038-80-6,192.168.1.101,38038,220.185.166.220,80,6,08/02/2022 06:04:05 PM,35390,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.51313930488839,35390.0,0.0,35390.0,35390.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,28.256569652444195,28.256569652444195,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,60,0,20,0,0,0,0,0,0,0,0,-1
192.168.1.101-180.101.38.35-44864-80-6,192.168.1.101,44864,180.101.38.35,80,6,08/02/2022 06:04:05 PM,29478,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.6944161747744,9826.0,12399.532934752018,23763.0,17.0,5715.0,5715.0,0.0,5715.0,5715.0,23780.0,23780.0,0.0,23780.0,23780.0,0,0,0,0,40,40,67.8472080873872,67.8472080873872,0.0,0.0,0.0,0.0,0.0,0,0,1,0,3,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,0,0,20,0,0,0,0,0,0,0,0,-1
192.168.1.101-183.131.118.35-54078-443-6,192.168.1.101,54078,183.131.118.35,443,6,08/02/2022 06:04:07 PM,2920083,6,5,102.0,102.0,39.0,0.0,17.0,19.411336893681487,39.0,0.0,20.4,19.603571103245446,69.86102792283644,3.7670162115254944,292008.3,912173.8271834243,2887947.0,-32.0,2920036.0,584007.2,1288033.192817522,2887979.0,5.0,2888455.0,722113.75,1443892.8382093492,2887953.0,0.0,1,0,0,0,120,100,2.0547361153775423,1.712280096147952,0.0,39.0,20.25,18.674849396983095,348.74999999999994,2,0,0,6,11,0,0,0,0.0,22.09090909090909,17.0,20.4,0,0,0,126,4,652849,6,102,5,102,501,573,2,20,0,0,0,0,0,0,0,0,-1
192.168.1.101-180.101.38.35-52986-443-6,192.168.1.101,52986,180.101.38.35,443,6,08/02/2022 06:04:07 PM,2932767,6,5,102.0,102.0,39.0,0.0,17.0,19.411336893681487,39.0,0.0,20.4,19.603571103245446,69.55888415274721,3.7507241454912714,293276.69999999995,916955.8521614453,2902857.0,-15.0,2931627.0,586325.4,1295048.0895025868,2902872.0,4.0,2904405.0,726101.25,1451176.604964715,2902866.0,0.0,1,0,0,0,120,100,2.0458495339043297,1.7048746115869415,0.0,39.0,20.25,18.674849396983095,348.74999999999994,2,0,0,6,11,0,0,0,0.0,22.09090909090909,17.0,20.4,0,0,0,126,4,906474,6,102,5,102,501,573,2,20,0,0,0,0,0,0,0,0,-1
