Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
149.202.83.171-192.168.217.128-9000-41674-6,149.202.83.171,9000,192.168.217.128,41674,6,11/12/2021 05:08:16 PM,110800308,5,5,1397.0,246.0,435.0,0.0,279.4,215.53259614267165,246.0,0.0,49.2,110.01454449298966,14.828478635637005,0.09025245669894708,1.2311145333333332E7,2.3099606659671426E7,6.02405E7,38.0,1.10800257E8,2.770006425E7,2.923276672273701E7,6.0240538E7,484732.0,1.1080027E8,2.77000675E7,2.9232700721761473E7,6.0240571E7,485968.0,1,0,0,0,100,100,0.04512622834947354,0.04512622834947354,0.0,435.0,188.90909090909088,208.16505688777573,43332.69090909091,0,0,0,5,10,0,0,0,1.0,207.8,279.4,49.2,0,0,0,0,0,0,1,465,1,82,64240,62905,3,20,52.333333333333336,16.921386861996073,71.0,38.0,3.6771394333333336E7,2.8072869707588255E7,6.02405E7,5672265.0,-1
149.202.83.171-192.168.217.128-9000-41674-6,149.202.83.171,9000,192.168.217.128,41674,6,11/12/2021 05:10:17 PM,113212294,8,8,1146.0,738.0,435.0,0.0,143.25,185.03957105749802,246.0,0.0,92.25,127.31709569866435,16.64130222465062,0.14132740742803074,7547486.266666666,1.6450811688591389E7,4.7708258E7,50.0,1.13212223E8,1.6173174714285715E7,2.165033523993128E7,4.7708308E7,423271.0,1.13212216E8,1.6173173714285715E7,2.1649826298118934E7,4.7708341E7,424208.0,1,0,0,0,160,160,0.07066370371401537,0.07066370371401537,0.0,435.0,136.41176470588232,169.24023562067376,28642.257352941175,0,0,0,8,16,0,0,0,1.0,144.9375,143.25,92.25,0,0,0,0,0,0,1,229,1,147,64240,62905,4,20,141456.3333333333,244870.12630848488,424208.0,78.0,3.5540915666666664E7,2.0426093479333155E7,4.7708258E7,1.1958898E7,-1
149.202.83.171-192.168.217.128-9000-41674-6,149.202.83.171,9000,192.168.217.128,41674,6,11/12/2021 05:12:17 PM,99647500,12,12,2108.0,984.0,435.0,0.0,175.66666666666666,195.50649063084293,246.0,0.0,82.0,121.12202712366343,31.029378559421964,0.24084899269926494,4332500.0,8889988.241329614,3.0959929E7,48.0,9.9647448E7,9058858.909090908,1.1259942699418586E7,3.0961213E7,415717.0,9.9647452E7,9058859.272727273,1.1259423657760072E7,3.0959929E7,416840.0,1,0,0,0,240,240,0.12042449634963247,0.12042449634963247,0.0,435.0,141.07999999999998,173.74020835719057,30185.659999999993,0,0,0,12,24,0,0,0,1.0,146.95833333333334,175.66666666666666,82.0,0,0,0,0,0,0,1,301,1,140,64240,62905,7,20,1556904.8,2184236.68527891,5284437.0,48.0,1.82795304E7,1.0884128035450028E7,3.0959929E7,7765138.0,-1
149.202.83.171-192.168.217.128-9000-41674-6,149.202.83.171,9000,192.168.217.128,41674,6,11/12/2021 05:14:17 PM,109763977,5,5,1397.0,246.0,435.0,0.0,279.4,215.53259614267165,246.0,0.0,49.2,110.01454449298966,14.968480961654661,0.09110457067349155,1.2195997444444444E7,2.129518696284314E7,4.9262695E7,41.0,1.09763921E8,2.744098025E7,2.5525729662393477E7,4.9264151E7,564309.0,1.09763881E8,2.744097025E7,2.5524771715444747E7,4.9262695E7,565780.0,1,0,0,0,100,100,0.045552285336745775,0.045552285336745775,0.0,435.0,188.90909090909088,208.16505688777573,43332.69090909091,0,0,0,5,10,0,0,0,1.0,207.8,279.4,49.2,0,0,0,0,0,0,1,465,1,82,64240,62905,3,20,85.0,39.66106403010388,118.0,41.0,3.6399314E7,2.226558397565806E7,4.9262695E7,1.0689234E7,-1
149.202.83.171-192.168.217.128-9000-41674-6,149.202.83.171,9000,192.168.217.128,41674,6,11/12/2021 05:16:18 PM,114885869,15,15,1857.0,1476.0,435.0,0.0,123.8,166.59669007173324,246.0,0.0,98.39999999999999,124.74476799792905,29.01140087124205,0.2611287207132498,3961581.689655171,7144220.085186371,2.5526701E7,43.0,1.14885758E8,8206125.571428572,8511091.71963012,2.5527815E7,443590.0,1.14885804E8,8206128.857142859,8510151.248497823,2.5526701E7,444767.0,1,0,0,0,300,300,0.1305643603566249,0.1305643603566249,0.0,435.0,121.54838709677418,154.1412423092702,23759.522580645156,0,0,0,15,30,0,0,0,1.0,125.6,123.8,98.4,0,0,0,0,0,0,1,206,1,164,64240,62905,8,20,615045.8571428572,616921.9693841431,1845221.0,65.0,1.5185404142857142E7,6457871.43514356,2.5526701E7,6452897.0,-1
149.202.83.171-192.168.217.128-9000-41674-6,149.202.83.171,9000,192.168.217.128,41674,6,11/12/2021 05:18:18 PM,67612923,8,8,1924.0,492.0,435.0,0.0,240.5,210.81677894729887,246.0,0.0,61.49999999999999,113.87587227202383,35.73281397699668,0.2366411521655409,4507528.199999999,8653061.387354793,3.134017E7,55.0,6.7612831E7,9658975.857142856,1.0801481465499017E7,3.1341173E7,593625.0,6.7612841E7,9658977.285714285,1.0800921608638184E7,3.134017E7,594606.0,1,0,0,0,160,160,0.11832057608277045,0.11832057608277045,0.0,435.0,167.70588235294113,194.60786363411756,37872.220588235294,0,0,0,8,16,0,0,0,1.0,178.1875,240.5,61.5,0,0,0,0,0,0,1,384,1,98,64240,62905,5,20,1309172.75,2197723.683415392,4572116.0,71.0,1.54454065E7,1.1211391358557673E7,3.134017E7,5962273.0,-1
149.202.83.171-192.168.217.128-9000-41674-6,149.202.83.171,9000,192.168.217.128,41674,6,11/12/2021 05:20:19 PM,119524657,15,15,1857.0,1476.0,435.0,0.0,123.8,166.59669007173324,246.0,0.0,98.39999999999999,124.74476799792905,27.885459650388288,0.2509942362771223,4121539.8965517236,8697303.45855162,3.4654285E7,45.0,1.19524586E8,8537470.428571427,1.1060762573627876E7,3.4655848E7,538840.0,1.19524557E8,8537468.357142858,1.1060023030971901E7,3.4654285E7,540381.0,1,0,0,0,300,300,0.12549711813856115,0.12549711813856115,0.0,435.0,121.54838709677418,154.1412423092702,23759.522580645156,0,0,0,15,30,0,0,0,1.0,125.6,123.8,98.4,0,0,0,0,0,0,1,168,1,134,64240,62905,8,20,3426776.2,2644615.8073766027,7164756.0,540381.0,2.0478141E7,1.0770542747429468E7,3.4654285E7,6038420.0,-1
149.202.83.171-192.168.217.128-9000-41674-6,149.202.83.171,9000,192.168.217.128,41674,6,11/12/2021 05:23:19 PM,115212351,12,12,2108.0,984.0,435.0,0.0,175.66666666666666,195.50649063084293,246.0,0.0,82.00000000000001,121.1220271236634,26.83740044502694,0.20831099957330096,5009232.652173914,1.28323373334606E7,5.1854359E7,49.0,1.152123E8,1.0473845454545455E7,1.7301158227027174E7,5.1855603E7,383931.0,1.15212302E8,1.0473845636363639E7,1.7300673965437036E7,5.1854359E7,385052.0,1,0,0,0,240,240,0.10415549978665048,0.10415549978665048,0.0,435.0,141.07999999999998,173.7402083571906,30185.66,0,0,0,12,24,0,0,0,1.0,146.95833333333334,175.66666666666666,82.0,0,0,0,0,0,0,2,351,2,164,64240,62905,7,20,397999.3333333333,406234.151403186,1106152.0,49.0,1.8804050666666668E7,2.038173032317879E7,5.1854359E7,5157197.0,-1
149.202.83.171-192.168.217.128-9000-41674-6,149.202.83.171,9000,192.168.217.128,41674,6,11/12/2021 05:25:20 PM,119528438,10,10,2016.0,738.0,435.0,0.0,201.59999999999997,204.35981340110226,246.0,0.0,73.8,118.8292893187534,23.040542034022064,0.167324197777938,6290970.421052632,1.1056979534913722E7,3.4169259E7,46.0,1.19528377E8,1.3280930777777776E7,1.3063577505695527E7,3.4169332E7,383319.0,1.19528392E8,1.3280932444444444E7,1.3062990844473157E7,3.416932E7,384361.0,1,0,0,0,200,200,0.083662098888969,0.083662098888969,0.0,435.0,151.85714285714283,182.8650556323667,33439.62857142857,0,0,0,10,20,0,0,0,1.0,159.45,201.6,73.8,0,0,0,0,0,0,1,336,1,123,64240,62905,6,20,195455.16666666666,214086.82704960307,397439.0,46.0,1.9725941E7,1.1112514956537157E7,3.4169259E7,7398533.0,-1
149.202.83.171-192.168.217.128-9000-41674-6,149.202.83.171,9000,192.168.217.128,41674,6,11/12/2021 05:27:24 PM,115706629,7,5,1300.0,246.0,435.0,0.0,185.71428571428572,189.06146644739138,246.0,0.0,49.2,110.01454449298966,13.36137793799178,0.10371056614223892,1.0518784454545455E7,1.934762486576957E7,5.5300356E7,42.0,1.1570658E8,1.928443E7,2.336301827484914E7,5.5300433E7,998.0,1.15318604E8,2.8829651E7,2.334996079400076E7,5.5300398E7,525551.0,1,0,0,0,140,100,0.06049783024963937,0.043212735892599545,0.0,435.0,137.84615384615384,165.80754212532378,27492.14102564102,0,0,0,6,12,0,0,0,0.0,149.33333333333334,185.71428571428572,49.2,0,0,0,0,0,0,2,433,1,82,62905,62905,4,20,304539.3333333333,272520.3105721358,525551.0,42.0,3.8264320666666664E7,1.68448721951025E7,5.5300356E7,2.1617352E7,-1
