Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:19:35 PM,95757013,12,9,1048.0,1623.0,262.0,0.0,87.33333333333333,128.99988254634073,449.0,0.0,180.33333333333331,205.4002190845959,27.893518357762474,0.21930508630213852,4787850.6499999985,1.3452422828425715E7,6.0006478E7,10.0,9.5701577E7,8700143.363636365,1.751031296621324E7,6.0006478E7,181565.0,9.5519986E7,1.193999825E7,1.999680783455602E7,6.0224772E7,18762.0,0,0,0,0,384,300,0.12531719217265058,0.09398789412948794,0.0,449.0,121.40909090909089,166.25959595389745,27642.253246753236,0,0,0,10,21,0,0,0,0.0,127.19047619047619,87.33333333333333,180.33333333333334,0,0,0,0,0,0,2,174,1,270,501,272,4,32,1868936.25,1894936.2185495629,3824784.0,237041.0,2.187151925E7,2.557032113666522E7,6.0006478E7,6972829.0,-1
91.121.140.167-10.10.22.25-5555-47550-6,91.121.140.167,5555,10.10.22.25,47550,6,08/02/2022 12:19:38 PM,116060629,6,9,1449.0,699.0,420.0,63.0,241.5,195.5369530293443,233.0,0.0,77.66666666666667,116.5,18.50756814354332,0.12924279429848687,8290044.92857143,1.689499907055228E7,5.6644004E7,10.0,1.16060614E8,2.32121228E7,2.238057351453858E7,5.6644028E7,3581674.0,1.16060606E8,1.4507575749999998E7,2.066440770357961E7,5.6644014E7,265515.0,1,0,0,0,192,288,0.051697117719394746,0.07754567657909212,0.0,420.0,160.5,176.67484257811014,31214.000000000004,0,0,0,9,15,0,0,0,1.0,171.2,241.5,77.66666666666667,0,0,0,0,0,0,1,289,1,139,236,501,5,32,962458.5,1750727.4380813823,3581698.0,10.0,2.7984795E7,2.257633497808123E7,5.6644004E7,7192415.0,-1
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:21:39 PM,111032157,8,6,711.0,1888.0,449.0,0.0,88.87500000000001,171.98624322062173,449.0,0.0,314.6666666666667,210.13202199252416,23.40763315982414,0.12608959762891034,8540935.153846154,1.4235415501366219E7,3.863246E7,5.0,1.11032157E8,1.5861736714285716E7,1.6426252697791176E7,3.8632466E7,16.0,8.1308331E7,1.62616662E7,1.7153771756035324E7,3.8632476E7,18756.0,1,0,0,0,256,192,0.07205119864509162,0.054038398983818715,0.0,449.0,203.2,218.33139948252978,47668.6,0,0,0,7,14,0,0,0,0.0,217.71428571428572,88.875,314.6666666666667,0,0,0,0,0,0,1,142,1,377,272,281,1,32,51164.4,114381.36174351134,255776.0,5.0,2.21552658E7,1.5213050044233903E7,3.863246E7,5560802.0,-1
91.121.140.167-10.10.22.25-5555-47550-6,91.121.140.167,5555,10.10.22.25,47550,6,08/02/2022 12:21:39 PM,110984529,6,7,2163.0,233.0,420.0,63.0,360.5,145.7446396955991,233.0,0.0,33.285714285714285,88.06572221114993,21.588594568888066,0.11713344298645445,9248710.75,1.462808179224821E7,3.8620258E7,12.0,1.10984504E8,2.21969008E7,1.5158728001827765E7,3.8620275E7,5067393.0,1.10984506E8,1.8497417666666668E7,1.629312767850061E7,3.8620283E7,249413.0,1,0,0,0,192,224,0.05406158907067129,0.06307185391578317,0.0,420.0,201.14285714285714,205.7331569488299,42326.13186813187,0,0,0,7,13,0,0,0,1.0,216.6153846153846,360.5,33.285714285714285,0,0,0,0,0,0,1,432,1,46,263,501,5,32,1266869.5,2533695.000002763,5067412.0,17.0,2.64792565E7,1.356924288357717E7,3.8620258E7,7038750.0,-1
91.121.140.167-10.10.22.25-5555-47550-6,91.121.140.167,5555,10.10.22.25,47550,6,08/02/2022 12:23:39 PM,95042216,10,13,1449.0,699.0,420.0,0.0,144.9,191.8178823780515,233.0,0.0,53.76923076923077,85.06581162660066,22.60048313688309,0.24199772446383194,4320100.727272727,1.0928876760761805E7,3.631861E7,0.0,9.5042197E7,1.0560244111111112E7,1.5669210207560882E7,3.6583325E7,0.0,9.5042211E7,7920184.25,1.4033440515796745E7,3.631861E7,1.0,1,0,0,0,320,428,0.1052164019407965,0.13678132252303546,0.0,420.0,107.0,157.03087483731954,24658.695652173912,0,0,0,10,23,0,0,0,1.0,111.65217391304348,144.9,53.76923076923077,0,0,0,296,6,1180,2,362,3,174,272,501,5,32,419388.6666666667,514446.5629784432,993420.0,5.0,3.0711485666666668E7,6588977.68491868,3.631861E7,2.3454302E7,-1
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:23:39 PM,95072032,6,3,711.0,990.0,449.0,0.0,118.49999999999999,192.86860812480606,449.0,92.0,330.0,206.11404610069638,17.89169710814638,0.09466506406426656,1.1884004E7,1.8052844739630293E7,4.470922E7,15.0,9.5072032E7,1.90144064E7,2.002146993578679E7,4.4709236E7,24.0,7.8621311E7,3.93106555E7,7634745.7606629245,4.4709236E7,3.3912075E7,1,0,0,0,192,96,0.06311004270951104,0.03155502135475552,0.0,449.0,215.0,216.3489978920376,46806.88888888889,0,0,0,5,9,0,0,0,0.0,238.88888888888889,118.5,330.0,0,0,0,0,0,0,2,237,1,330,281,290,1,32,86424.33333333334,149656.69538090614,259233.0,16.0,3.1604248E7,1.4398266606393876E7,4.470922E7,1.6191465E7,-1
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:25:40 PM,111140503,9,6,973.0,1888.0,449.0,0.0,108.11111111111114,170.91550869102286,449.0,0.0,314.6666666666667,210.13202199252416,25.74219049557478,0.13496429829906384,7938607.357142857,1.4995764686112884E7,5.0909451E7,5.0,1.11140503E8,1.3892562875E7,1.7979947259082966E7,5.0909466E7,5.0,9.5931731E7,1.91863462E7,2.088947341132255E7,5.0909479E7,2791064.0,1,0,0,0,288,204,0.0809785789794383,0.05398571931962554,0.0,449.0,206.87499999999997,211.439786542962,44706.78333333333,0,0,0,8,15,0,0,0,0.0,220.66666666666666,108.11111111111111,314.6666666666667,0,0,0,0,0,0,1,162,1,314,290,299,2,32,766471.0,1713847.1587676655,3832294.0,5.0,2.14616266E7,1.932711409963242E7,5.0909451E7,5441297.0,-1
91.121.140.167-10.10.22.25-5555-47550-6,91.121.140.167,5555,10.10.22.25,47550,6,08/02/2022 12:25:40 PM,111634303,6,7,2163.0,233.0,420.0,63.0,360.5,145.7446396955991,233.0,0.0,33.285714285714285,88.06572221114993,21.46293688956879,0.11645166092003101,9302858.583333334,1.6106171122342214E7,5.1387028E7,8.0,1.11634288E8,2.23268576E7,1.8731394962443728E7,5.1387036E7,7223887.0,1.1163428E8,1.8605713333333336E7,1.9052464502348106E7,5.1387043E7,266160.0,1,0,0,0,192,224,0.053746920424629696,0.06270474049540131,0.0,420.0,201.14285714285714,205.7331569488299,42326.13186813187,0,0,0,7,13,0,0,0,1.0,216.6153846153846,360.5,33.285714285714285,0,0,0,0,0,0,1,432,1,46,290,501,5,32,53243.6,119023.8861670211,266160.0,8.0,2.2273614E7,1.8784129844218455E7,5.1387028E7,7223857.0,-1
91.121.140.167-10.10.22.25-5555-47550-6,91.121.140.167,5555,10.10.22.25,47550,6,08/02/2022 12:27:40 PM,103843289,7,10,1872.0,702.0,420.0,64.0,267.42857142857144,190.29000424164616,234.0,0.0,70.2,113.03273862027761,24.787350485403056,0.16370821998906449,6490205.5625,9505045.770755053,2.5503881E7,5.0,1.0384327E8,1.7307211666666668E7,7126766.189452792,2.5503888E7,8174993.0,1.03843282E8,1.1538142444444442E7,1.019188043740976E7,2.5503898E7,249617.0,1,0,0,0,224,320,0.06740926705432067,0.09629895293474382,0.0,420.0,166.33333333333334,181.58679661771214,32973.76470588235,0,0,0,10,17,0,0,0,1.0,176.11764705882354,267.42857142857144,70.2,0,0,0,0,0,0,1,312,1,117,299,501,6,32,88823.33333333334,137591.1235693156,266787.0,5.0,1.7176788666666668E7,7192997.106346551,2.5503881E7,7908862.0,-1
10.10.22.25-91.121.140.167-36504-9000-6,10.10.22.25,36504,91.121.140.167,9000,6,08/02/2022 12:27:40 PM,60485893,8,7,524.0,1980.0,262.0,0.0,65.49999999999999,121.28243307020425,449.0,0.0,282.8571428571429,209.47348962850373,41.39808269012413,0.24799170940569565,4320420.928571428,7532924.967427087,2.1149174E7,8.0,6.0485893E7,8640841.857142856,8912390.656202754,2.1149185E7,256000.0,6.0248925E7,1.00414875E7,8913810.093341876,2.1149182E7,299697.0,1,0,0,0,268,224,0.13226224501637102,0.11572946438932463,0.0,449.0,172.875,191.67537661369025,36739.45,0,0,0,8,15,0,0,0,0.0,184.4,65.5,282.85714285714283,0,0,0,0,0,0,2,131,1,495,501,317,1,32,315701.5,476265.4424950439,1006787.0,8.0,1.480576525E7,6370079.730469752,2.1149174E7,6474275.0,-1
