"No.","Time","Source","Destination","Protocol","Length","Info"
"2","0.959678302","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"3","0.959715814","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=1 Ack=436 Win=62905 Len=0"
"11","61.200216195","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"12","61.200287181","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=1 Ack=871 Win=62905 Len=0"
"18","105.601705047","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"19","105.601752517","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=1 Ack=1306 Win=62905 Len=0"
"23","111.274017428","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"24","111.275202842","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=1306 Ack=247 Win=64240 Len=0"
"25","111.759934513","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"26","111.759985681","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=247 Ack=1398 Win=62905 Len=0"
"36","121.434501791","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"37","121.434580311","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=247 Ack=1833 Win=62905 Len=0"
"44","133.393477573","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"45","133.394365136","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=1833 Ack=493 Win=64240 Len=0"
"46","133.817635507","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"47","133.817685482","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=493 Ack=1925 Win=62905 Len=0"
"60","181.525944199","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"61","181.526026717","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=493 Ack=2360 Win=62905 Len=0"
"67","228.481617489","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"68","228.482696679","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=2360 Ack=739 Win=64240 Len=0"
"69","228.965624341","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"70","228.965673415","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=739 Ack=2452 Win=62905 Len=0"
"74","232.991625605","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"75","232.992702501","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=2452 Ack=985 Win=64240 Len=0"
"78","234.646725073","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
